YEAR,MONTH,QUARTER,AIRLINE_ID,CARRIER,CARRIER_NAME,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,PASSENGERS,MISHANDLED_BAGGAGE,ENPLANED_BAGGAGE,MISHANDLED_WCHR_SCTR,ENPLANED_WCHR_SCTR,FORM_TYPE
2026,5,2,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,,10641,1747264,25,2870,FORM-2
2026,5,2,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,,27852,5182707,120,11058,FORM-1
2026,5,2,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,,11286,2624425,25,3920,FORM-1
2026,5,2,20368,G4,Allegiant Air,G4,Allegiant Air,,788,558371,18,2227,FORM-1
2026,5,2,20397,OH,PSA Airlines Inc.,OH,PSA Airlines Inc.,,3821,1092951,14,1075,FORM-1
2026,5,2,20398,MQ,Envoy Air,MQ,Envoy Air,,5817,965813,11,1622,FORM-1
2026,5,2,20409,B6,JetBlue Airways,B6,JetBlue Airways,,3145,1206946,32,3136,FORM-1
2026,5,2,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,,58,12014,2,40,FORM-1
2026,5,2,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,,3833,841740,64,4952,FORM-1
2026,5,2,20452,YX,Republic Airline,YX,Republic Airline,,3811,939901,13,1413,FORM-1
2026,6,2,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,,30965,9142632,288,23636,FORM-1
2026,6,2,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,,5186,1944254,8,2860,FORM-2
2026,6,2,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,,24119,7503986,42,9860,FORM-1
2026,6,2,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,,23083,3657984,54,4373,FORM-2
2026,6,2,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,,52460,6273039,148,11149,FORM-1
2026,6,2,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,,3070,576655,2,716,FORM-2
2026,6,2,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,,13638,2787929,77,4763,FORM-1
2026,6,2,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,,12215,1699588,24,2523,FORM-2
2026,6,2,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,,32516,5251192,130,10556,FORM-1
2026,6,2,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,,13256,2642526,31,3627,FORM-1
2026,6,2,20368,G4,Allegiant Air,G4,Allegiant Air,,892,706966,17,3284,FORM-1
2026,6,2,20397,OH,PSA Airlines Inc.,OH,PSA Airlines Inc.,,5260,1057506,13,934,FORM-1
2026,6,2,20398,MQ,Envoy Air,MQ,Envoy Air,,8650,986065,18,1634,FORM-1
2026,6,2,20409,B6,JetBlue Airways,B6,JetBlue Airways,,3667,1206598,50,3021,FORM-1
2026,6,2,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,,4414,851393,88,5123,FORM-1
2026,6,2,20452,YX,Republic Airline,YX,Republic Airline,,4226,909355,6,1262,FORM-1
